,mean,median,variance,std,skewness,kurtosis,coefficient_of_variation,min,max
area error,40.33707908611603,24.53,2069.4315828687345,45.49100551613181,5.447186284898394,49.20907650724119,1.127771433796994,6.802,542.2
concavity error,0.031893716344463946,0.02589,0.0009111982378230953,0.03018606032298841,5.110463049043661,48.8613953017919,0.9464579165678838,0.0,0.396
mean concavity,0.08879931581722322,0.06154,0.006355247900423129,0.07971980870789348,1.4011797389486722,1.9986375291042124,0.8977525105258896,0.0,0.4268
mean concave points,0.048919145869947236,0.0335,0.0015056607691635436,0.038802844859153605,1.1711800812336282,1.066555702965477,0.793203645916303,0.0,0.2012
worst concavity,0.27218848330404205,0.2267,0.04352409045926073,0.2086242806081323,1.1502368219460262,1.6152532975830205,0.766469903780217,0.0,1.252
perimeter error,2.8660592267135288,2.287,4.08789583770081,2.0218545540421076,3.443615202194899,21.40190492588045,0.7054475829379635,0.757,21.98
compactness error,0.025478138840070306,0.02045,0.00032070288676061906,0.017908179325677388,1.9022207096378565,5.10625248342338,0.7028841250175074,0.002252,0.1354
fractal dimension error,0.0037949038664323383,0.003187,7.001691562872347e-06,0.002646070967089195,3.923968620227413,26.280847486373336,0.6972695647167518,0.0008948,0.02984
radius error,0.4051720562390161,0.3242,0.07690235187622217,0.2773127329861039,3.0886121663847574,17.686725966164644,0.6844320300867779,0.1115,2.873
worst area,880.5831282952545,686.5,324167.38510216837,569.356992669949,1.8593732724433467,4.396394828992138,0.6465681369255656,185.2,4254.0
worst compactness,0.25426504393673144,0.2119,0.024754770743704056,0.157336488913742,1.4735549003297956,3.0392881719200657,0.6187893014223846,0.02729,1.058
worst concave points,0.11460622319859404,0.09993,0.004320740679099743,0.06573234119594207,0.49261552688550875,-0.5355351225188589,0.5735494928756055,0.0,0.291
mean area,654.8891036906857,551.1,123843.55431768115,351.914129181653,1.6457321756240424,3.6523027623507582,0.5373644594152043,143.5,2501.0
concave points error,0.011796137082601056,0.01093,3.80724191290626e-05,0.006170285174046869,1.4446781446974786,5.1263019430439565,0.5230767607090504,0.0,0.05279
mean compactness,0.10434098418277686,0.09263,0.0027891874004381295,0.052812757932512194,1.1901230311980404,1.650130467219256,0.506155451246259,0.01938,0.3454
texture error,1.2168534270650269,1.108,0.304315949077143,0.5516483926172023,1.646443808753053,5.349168692469973,0.4533400493005499,0.3602,4.885
smoothness error,0.007040978910369071,0.00638,9.015114003075571e-06,0.0030025179438390656,2.314450056636759,10.469839532360393,0.4264347304630232,0.001713,0.03113
symmetry error,0.020542298769771532,0.01873,6.833289825212877e-05,0.008266371528798399,2.1951328995478216,7.896129827528971,0.4024073265336086,0.007882,0.07895
worst perimeter,107.2612126537786,97.66,1129.1308469423748,33.602542269036356,1.1281638713683722,1.070149666654432,0.313277665221815,50.41,251.2
worst radius,16.269189806678394,14.97,23.360224175177606,4.833241580469323,1.1031152059604372,0.9440895758772196,0.29707942668941695,7.93,36.04
mean perimeter,91.96903339191566,86.24,590.4404795217704,24.298981038754906,0.9906504253930081,0.9722135477110654,0.26420828992741,43.79,188.5
mean radius,14.127291739894563,13.37,12.418920129526722,3.5240488262120775,0.9423795716730992,0.8455216229065377,0.2494497099016077,6.981,28.11
worst texture,25.677223198594014,25.41,37.77648276875665,6.146257623038319,0.49832130948716474,0.22430186846478772,0.23936613299271645,12.02,49.54
mean texture,19.28964850615117,18.84,18.49890867905146,4.301035768166949,0.6504495420828159,0.7583189723727752,0.22297118409365602,9.71,39.28
worst fractal dimension,0.08394581722319855,0.08004,0.000326209378248224,0.018061267348893986,1.6625792663955146,5.244610555815004,0.21515386884461382,0.05504,0.2075
worst symmetry,0.29007557117750454,0.2822,0.003827583539505928,0.061867467537518685,1.433927765189328,4.444559517846582,0.2132805161302619,0.1565,0.6638
worst smoothness,0.13236859402460469,0.1313,0.0005213198325267952,0.022832429404835465,0.4154259962824678,0.5178251903311124,0.17249128898801608,0.07117,0.2226
mean symmetry,0.181161862917399,0.1792,0.0007515428211713162,0.027414281336035715,0.7256089733641999,1.2879329922294565,0.15132479261672913,0.106,0.304
mean smoothness,0.096360281195079,0.09587,0.0001977997002729028,0.01406412813767362,0.45632376481955844,0.8559749303632245,0.14595358132259018,0.05263,0.1634
mean fractal dimension,0.06279760984182778,0.06154,4.984872279821283e-05,0.007060362795084459,1.3044888125755076,3.0058921201694933,0.11243043824228073,0.04996,0.09744
