,count,mean,std,min,25%,50%,75%,max,median,variance,range
mean radius,569.0,14.127291739894552,3.5240488262120775,6.981,11.7,13.37,15.78,28.11,13.37,12.418920129526722,21.128999999999998
mean texture,569.0,19.289648506151142,4.301035768166949,9.71,16.17,18.84,21.8,39.28,18.84,18.49890867905146,29.57
mean perimeter,569.0,91.96903339191564,24.298981038754906,43.79,75.17,86.24,104.1,188.5,86.24,590.4404795217704,144.71
mean area,569.0,654.8891036906855,351.914129181653,143.5,420.3,551.1,782.7,2501.0,551.1,123843.55431768115,2357.5
mean smoothness,569.0,0.0963602811950791,0.01406412813767362,0.05263,0.08637,0.09587,0.1053,0.1634,0.09587,0.0001977997002729028,0.11076999999999998
mean compactness,569.0,0.10434098418277679,0.052812757932512194,0.01938,0.06492,0.09263,0.1304,0.3454,0.09263,0.0027891874004381295,0.32602
mean concavity,569.0,0.0887993158172232,0.07971980870789348,0.0,0.02956,0.06154,0.1307,0.4268,0.06154,0.006355247900423129,0.4268
mean concave points,569.0,0.04891914586994728,0.038802844859153605,0.0,0.02031,0.0335,0.074,0.2012,0.0335,0.0015056607691635436,0.2012
mean symmetry,569.0,0.18116186291739894,0.027414281336035715,0.106,0.1619,0.1792,0.1957,0.304,0.1792,0.0007515428211713162,0.198
mean fractal dimension,569.0,0.06279760984182776,0.007060362795084459,0.04996,0.0577,0.06154,0.06612,0.09744,0.06154,4.984872279821283e-05,0.04748
radius error,569.0,0.40517205623901575,0.2773127329861039,0.1115,0.2324,0.3242,0.4789,2.873,0.3242,0.07690235187622217,2.7615000000000003
texture error,569.0,1.2168534270650264,0.5516483926172023,0.3602,0.8339,1.108,1.474,4.885,1.108,0.304315949077143,4.5248
perimeter error,569.0,2.8660592267135327,2.0218545540421076,0.757,1.606,2.287,3.357,21.98,2.287,4.08789583770081,21.223
area error,569.0,40.337079086116,45.49100551613181,6.802,17.85,24.53,45.19,542.2,24.53,2069.4315828687345,535.398
smoothness error,569.0,0.007040978910369069,0.0030025179438390656,0.001713,0.005169,0.00638,0.008146,0.03113,0.00638,9.015114003075571e-06,0.029417000000000002
compactness error,569.0,0.025478138840070295,0.017908179325677388,0.002252,0.01308,0.02045,0.03245,0.1354,0.02045,0.00032070288676061906,0.133148
concavity error,569.0,0.03189371634446397,0.03018606032298841,0.0,0.01509,0.02589,0.04205,0.396,0.02589,0.0009111982378230953,0.396
concave points error,569.0,0.011796137082601054,0.006170285174046869,0.0,0.007638,0.01093,0.01471,0.05279,0.01093,3.80724191290626e-05,0.05279
symmetry error,569.0,0.02054229876977153,0.008266371528798399,0.007882,0.01516,0.01873,0.02348,0.07895,0.01873,6.833289825212877e-05,0.071068
fractal dimension error,569.0,0.0037949038664323374,0.002646070967089195,0.0008948,0.002248,0.003187,0.004558,0.02984,0.003187,7.001691562872347e-06,0.028945199999999997
worst radius,569.0,16.269189806678387,4.833241580469323,7.93,13.01,14.97,18.79,36.04,14.97,23.360224175177606,28.11
worst texture,569.0,25.677223198594024,6.146257623038319,12.02,21.08,25.41,29.72,49.54,25.41,37.77648276875665,37.519999999999996
worst perimeter,569.0,107.26121265377857,33.602542269036356,50.41,84.11,97.66,125.4,251.2,97.66,1129.1308469423748,200.79
worst area,569.0,880.5831282952548,569.356992669949,185.2,515.3,686.5,1084.0,4254.0,686.5,324167.38510216837,4068.8
worst smoothness,569.0,0.13236859402460457,0.022832429404835465,0.07117,0.1166,0.1313,0.146,0.2226,0.1313,0.0005213198325267952,0.15143
worst compactness,569.0,0.25426504393673116,0.157336488913742,0.02729,0.1472,0.2119,0.3391,1.058,0.2119,0.024754770743704056,1.03071
worst concavity,569.0,0.27218848330404216,0.2086242806081323,0.0,0.1145,0.2267,0.3829,1.252,0.2267,0.04352409045926073,1.252
worst concave points,569.0,0.11460622319859401,0.06573234119594207,0.0,0.06493,0.09993,0.1614,0.291,0.09993,0.004320740679099743,0.291
worst symmetry,569.0,0.2900755711775044,0.061867467537518685,0.1565,0.2504,0.2822,0.3179,0.6638,0.2822,0.003827583539505928,0.5073
worst fractal dimension,569.0,0.0839458172231986,0.018061267348893986,0.05504,0.07146,0.08004,0.09208,0.2075,0.08004,0.000326209378248224,0.15245999999999998
