feature,outlier_count,outlier_percentage,lower_bound,upper_bound
mean radius,14,2.460456942003515,5.579999999999999,21.9
mean texture,7,1.2302284710017575,7.725000000000003,30.244999999999997
mean perimeter,13,2.2847100175746924,31.775000000000013,147.49499999999998
mean area,25,4.393673110720562,-123.30000000000001,1326.3000000000002
mean smoothness,6,1.054481546572935,0.057975,0.133695
mean compactness,16,2.8119507908611596,-0.03329999999999997,0.22861999999999996
mean concavity,18,3.163444639718805,-0.12215000000000001,0.28241000000000005
mean concave points,10,1.7574692442882252,-0.060224999999999994,0.15453499999999998
mean symmetry,15,2.6362038664323375,0.11119999999999995,0.24640000000000006
mean fractal dimension,15,2.6362038664323375,0.045070000000000006,0.07874999999999999
radius error,38,6.6783831282952555,-0.13735000000000003,0.84865
texture error,20,3.5149384885764503,-0.12625000000000008,2.43415
perimeter error,38,6.6783831282952555,-1.0205,5.9835
area error,65,11.423550087873462,-23.15999999999999,86.19999999999999
smoothness error,30,5.272407732864675,0.0007034999999999993,0.012611500000000001
compactness error,28,4.92091388400703,-0.015974999999999996,0.061505
concavity error,22,3.8664323374340945,-0.025349999999999998,0.08249
concave points error,19,3.3391915641476277,-0.0029700000000000013,0.025318
symmetry error,27,4.745166959578207,0.0026799999999999984,0.035960000000000006
fractal dimension error,28,4.92091388400703,-0.0012170000000000006,0.008023
worst radius,17,2.987697715289982,4.340000000000002,27.459999999999997
worst texture,5,0.8787346221441126,8.119999999999997,42.68
worst perimeter,15,2.6362038664323375,22.17499999999999,187.335
worst area,35,6.151142355008787,-337.7500000000001,1937.0500000000002
worst smoothness,7,1.2302284710017575,0.07250000000000001,0.1901
worst compactness,16,2.8119507908611596,-0.14065000000000005,0.6269500000000001
worst concavity,12,2.10896309314587,-0.2881000000000001,0.7855000000000001
worst concave points,0,0.0,-0.07977499999999997,0.30610499999999996
worst symmetry,23,4.042179261862917,0.14915,0.41915
worst fractal dimension,24,4.21792618629174,0.04053,0.12301
